Release Year,Title,Origin/Ethnicity,Director,Cast,Genre,Wiki Page,Plot
1982,Paradise,Canadian,Stuart Gillard,"Willie Ames, Phoebe Cates, Tuvia Tavi",drama,https://en.wikipedia.org/wiki/Paradise_(1982_film),"In 1823, during the Georgian era, teenagers, David and Sarah, travel with a caravan from Baghdad to Damascus. At an oasis, a white slaver known as 'the Jackal' raids the party and attempts to add the beautiful young Sarah to his harem. David and Sarah and her servant, Geoffrey, narrowly escape, but all the others are slain in a massacre including David's American missionary parents. When Geoffrey seeks help at an encampment controlled by the Jackal, he is killed.
David and Sarah rest at a nearby enclave as they head west toward civilization. Their flight leads them to a beautiful oasis—a Paradise—where they discover love and sex. However, the Jackal does not give up hope of capturing Sarah, so David must lure him to his death. At the conclusion, Sarah reveals to David that she is pregnant and the two young lovers finally reach civilization, the city of Damascus."
1985,Donga,Telugu,A. Kodandarami Reddy,"Chiranjeevi, Radha, Giribabu, Kota Srinivasa Rao",unknown,https://en.wikipedia.org/wiki/Donga_(film),"Phani (Chiranjeevi) commits thefts just to help the poor. He loves Kodandaramayya’s daughter Manju Latha (Radha), but he seeks revenge against Kodandaramayya (Rao Gopala Rao) for killing his father. He also wants his sister Malathi (Rajyalakshmi) to get married to Rajesh (Raja), son of Anjaneyulu, but he needs Rs.50,000 for her dowry. At the same time, Vishwanatham (Sridhar), an income tax officer, wants his sister Rekha to marry Rajesh. With the help of the police, Phani succeeds in liquidating Kodandaramayya's gang and has his revenge. He also acquires enough money to arrange his sister’s marriage with Rajesh."
1945,The Vampire's Ghost,American,Lesley Selander,"John Abbott, Adele Mara, Peggy Stewart",horror,https://en.wikipedia.org/wiki/The_Vampire%27s_Ghost,"Roy Hendrick (Charles Gordon) returns to the village of Bakunda after a short absence to find that there has been a series of strange murders where each victim was bitten the neck and drained of blood. The local Natives are certain it is the work of a vampire, but Roy, his girlfriend Julie Vance (Peggy Stewart) and her father Thomas Vance (Emmett Vogen) who runs a local plantation do not believe in such superstitious nonsense.
They go to see Webb Fallon (John Abbott), a newcomer to the area who runs a nightclub and knows a lot about the occult and the local voodoo customs. It is soon apparent that Fallon is indeed a vampire. A native stabs him with a silver tipped spear, and at this point Fallon tells Roy the truth about himself, making Roy his slave with the curse of the undead. Roy must do his bidding and can not tell anyone the truth about Fallon.
Fallon kills Lisa (Adele Mara), a dancer in his club and a troublesome sea Captain named Barrett (Roy Bancroft). Hendrick is helpless to stop him until the local Priest gives him the strength to conquer Fallon's hold on him. Fallon, realizing that everyone is on to him now, take Julie to a nearby Temple of Death where he plans to make her his eternal vampire bride. The heroes race to Temple, stop Fallon in the knick of time and burn the vampire's body in the temple."
1947,Uncle Silas,British,Charles Frank,"Jean Simmons, Katina Paxinou",drama,https://en.wikipedia.org/wiki/Uncle_Silas_(film),"Caroline Ruthyn is the teenage niece of her elderly uncle Silas, a sickly and at one time unbalanced man who becomes her guardian on the death of her father. The fact that Silas is broke and greedy and young Caroline is the heir to her father's vast fortune is reason enough for Caroline to be wary, but her fears increase when she meets Silas's perverted son and when she discovers that her fearsome former governess, Madame de la Rougierre, is working with her uncle..."
1999,The Bone Collector,American,Phillip Noyce,"Denzel Washington, Angelina Jolie",crime,https://en.wikipedia.org/wiki/The_Bone_Collector,"The film begins in late 1999. Tetraplegic forensics expert Lincoln Rhyme and a patrol cop, Amelia Donaghy, team up to solve a string of murders connected to a serial killer by his signature: a single shard of bone removed from each of the victims. Rhyme was paralyzed from the neck down in an earlier accident and is bed-bound and completely reliant on machines and his nurse Thelma.
The killer poses as a New York City taxi driver and abducts and kills those who get in his taxi. The first victims are a married couple named Alan and Lindsay Rubin that the killer picked up at the airport. Amelia finds Alan's body buried in a Civil War-era railroad bed. She also finds a collection of clues including a pile of piece-ground oyster shells, which eventually leads Amelia—now working with Rhyme—to Alan's wife, and a scrap of paper. The detectives find Mrs. Rubin, too late, at a steam junction in a below-ground services area of a building in the Financial District, secured using old antique handcuffs or shackles at the mouth of a pipe which emits steam. She has been scalded to death from the steam. The killer has also removed a bit of flesh and bone from her arm. Amelia finds another scrap of paper at the scene.
The killer then abducts a New York University student, who is taken to a derelict slaughterhouse where he is tied to a pole. Part of his thigh bone is surgically removed, and he is left for rats to feed on. Amelia and Rhyme, using the clues left by the killer at the scene of Lindsay Rubin's death, find the victim dead. Again, the killer has removed a piece of the victim's bone. Amelia is able to collect the evidence, including another scrap of paper. The pressure of the tense investigation and bureaucratic challenges to both Amelia's and Rhyme's involvement with the case are having serious impacts on Rhyme's health and stability.
After piecing together the message the killer was sending using the scraps of paper, Amelia and Rhyme are led to an old crime novel, whose crimes the killer was replicating. This leads them to his next victims, a grandfather and granddaughter tied to a pier as the tide rises. The girl is the first victim they manage to save, but her grandfather dies. At the scene, Amelia finds another bone, part of an old police badge, and an old subway map. These clues, and some asbestos left by the killer at the scene of Mrs. Rubin's death, lead Amelia to an abandoned subway station, where she sees some numbers which have been tampered with to spell out Rhyme's police badge number—Amelia realizes that the killer is after Rhyme.
The killer arrives at Rhyme's house, and after killing Rhyme's nurse, Thelma, and Captain Howard Cheney, it is revealed that he is the medical technician who cares for Rhyme's medical equipment, Richard Thompson. Richard's real name is Marcus Andrews, and he's a former forensics expert who worked in Syracuse.
About 8 years ago, Rhyme wrote an article accusing Marcus of planting evidence and sending six innocent people to prison, and one of those people hanged himself.
Marcus spent six years in prison, and after getting released, he spent two years trying to find Rhyme. Marcus was often attacked or raped in the prison, and he wants Rhyme to pay for what the article put him through.
Rhyme manages to crush Marcus's right hand by suddenly dropping his bed horizontally, and in the struggle to free himself, Marcus pulls Rhyme with him and they both collapse to the floor. Rhyme then manages to bite Marcus in the neck, causing massive bleeding. Marcus once again manages to free himself, grabbing his knife. As Marcus raises the knife for a killing blow, Amelia suddenly arrives at the apartment and shoots Marcus dead.
The film ends at a Christmas celebration at Rhyme's apartment. Rhyme, having given up his plans to commit suicide, faces his sister and niece coming to visit him along with Amelia and his other colleagues on Christmas Eve. It is implied that Rhyme and Amelia have a relationship."
1990,Curry and Pepper,Hong Kong,Blackie Ko,"Jacky Cheung, Stephen Chow",comedy,https://en.wikipedia.org/wiki/Curry_and_Pepper,"Curry and Pepper are two CID detectives that do not take their jobs seriously. When newspaper reporter Joey Law decides to film a documentary about daily police life, she chooses to film Curry and Pepper. As Curry and Pepper fight for Joey's affection, their friendship is seriously jeopardized. Eventually, the two reconcile and work together to take down a vicious hit man named Abalone."
2004,Dil Ne Jise Apna Kahaa,Bollywood,Atul Agnihotri,"Salman Khan, Preity Zinta, Bhoomika Chawla","drama, romance",https://en.wikipedia.org/wiki/Dil_Ne_Jise_Apna_Kahaa,"Dil Ne Jise Apna Kahaa begins with Rishabh (Salman Khan) and Pari (Preity Zinta) who are deeply in love. He is a wealthy young man, working in an advertising agency while she is a hardworking, dedicated doctor. They marry and soon Pari is pregnant. Pari has a dream to create a hospital for children. Tragically, she is involved in an accident and dies in hospital. Pari's last wish was to donate her heart to her patient Dhani (Bhoomika Chawla). Rishabh is devastated and opposes the plan to donate the heart; he goes ahead with Pari's last request: the creation of a children's hospital.
Dhani is cured, much to the joy of her family and her grandmother (Helen). Rishabh has gone into depression but soon comes across Pari's project to build a hospital for children. He begins to develop the hospital. Soon enough Rishabh and Dhani come across each other, and she feels an instant attraction to him. Rishabh ignores her advances as he is still very much in love with Pari. Rishabh does not know that Pari's heart was given to Dhani but soon he realizes that. When he does, Dhani faints. While she is in the hospital, with doctors struggling to restart her broken heart, he falls in love with her. He tells her that he loves her, and if she loves him, she will pull through. She does, and the two get together."
1969,Waris,Bollywood,Ramanna,"Jeetendra, Hema Malini, Mehmood, Aruna Irani, Prem Chopra, Nazima, David, Kamini Kaushal, Sudesh Kumar, Sunder, Sachin",family romance action,https://en.wikipedia.org/wiki/Waris_(1969_film),"The story revolves around a young prince with socialist ideas who runs away from the palace. Twenty years later, after news of the death of the king, three pretenders arrive, each claiming to be the real prince. This is a film based on a story of kings. Due to disagreements in the King's household, his wife and son (Jeetendra,) decide to move away from his kingdom. Years later, the King dies and the Palace decides to find the Prince so that he can claim his rightful place on the throne. They locate three young men, all claiming to be the prince. The Palace officials put them to the test, and one by one, all of them pass various tests imposed on them, leaving the officials in a quandary as to who the real prince is between these three young men. Meanwhile, the original prince sees the news and reveals his identity to her mother, with whom he is living by his false identity as an orphan. At the same time, Prem Chopra also lists his identity as Prince. Meanwhile, (Prem Chopra) kidnapped the original Prince to become king himself and arrives as Ram Kumar 1 at the Palace. But two men also arrive at the Palace claiming to be the Prince. After so much chaos, Ravi and Rajan save the life of Ram Kumar. At last, Murthy tries to escape with money, but is stopped by Jeetendra, but he escapes from there by kidnapping the princess. At last, in the car, Murthy's mother saves the life of the girl by saying to him to jump from the car and ask his son to stop the car, but he didn't stop the car. Finally, his mother shoots him and the film ends with the car crashing from the mountain.[6]"
2014,Brahma,Kannada,R. Chandru,"Upendra, Pranitha",unknown,https://en.wikipedia.org/wiki/Brahma_(2014_film),"The film opens with a lady coming to India from Malaysia. She takes a taxi and wants to go to Brahma's place. The driver then starts telling her about Brahma's life. The movie goes into a flashback. In 1970, Veer Brahma(Nassar) kills two rich men.Then his wife gives birth to a son. The movie then comes back in 2014, ACP Shinde(Sayaji Shinde) is handed the case of Brahma. Pranitha comes and tells her story - Pranitha(Pranitha Subhash) is a girl from Malaysia. She lives with her parents in Malaysia. She saw Brahma(Upendra) helping a beggar. After some events, she falls in love with Brahma. Then Lucky man, (Rangayana Raghu) a millionaire is also fooled by Brahma. In Malaysia, Bramha killed an international don named Rahul Dev(Rahul Dev). Now we see that Brahma is a Don. Brahma goes to loot his house. There Brahma is living with a new name, Upendra. He works in his father's house. Then we see some comedies of Sadhu(Sadhu Kokila), who is the leader of the servants in the house. Then Pranitha and Lucky man come into that house. One day Brahma is caught by ACP Shinde in that house. Then Brahma's grandfather reveals their past. In 1600 BC A warrior named Brahma (Upendra) is very kind to poor. He gives all his wealth to the poor. But in 1950, their family becomes very poor. Then Veer Brahma says that he will take all the wealth his grandfather gave to others. Then Bramha is taken to court and he is sentenced to 2 years in jail. There, his father apologizes to him. After two years, Bramha is now the chief minister of Karnataka. The Lady came to kill Brahma but she did not succeed in killing him. She is the wife of Rahul Dev. The movie ends with Upendra saying, Jo janta ko chodkar dourta hai woh leader nehi ho ta, Jo janta ko sath lekar dourta hai wahi ho ta hai leader. In English, this means, Which man runs without the public he is not a leader, but he who runs with the public he is the leader."
1914,The Avenging Conscience,American,D. W. Griffith,"Henry B. Walthall, Blanche Sweet","drama, horror",https://en.wikipedia.org/wiki/The_Avenging_Conscience,"A young man (Henry B. Walthall) falls in love with a beautiful woman (Blanche Sweet), but is prevented by his uncle (Spottiswoode Aitken) from pursuing her. Tormented by visions of death and suffering and deciding that murder is the way of things, the young man kills his uncle and builds a wall to hide the body.
The young man's torment continues, this time caused by guilt over murdering his uncle, and he becomes sensitive to slight noises, like the tapping of a shoe or the crying of a bird. The ghost of his uncle begins appearing to him and, as he gradually loses his grip on reality, the police figure out what he has done and chase him down. In the ending sequence, we learn that the experience was all a dream and that his uncle is really alive."
1933,The Secret of Madame Blanche,American,Charles Brabin,"Irene Dunne, Lionel Atwill",drama,https://en.wikipedia.org/wiki/The_Secret_of_Madame_Blanche,"Sally Sanders (Irene Dunne) is an American showgirl visiting London in 1898 when she marries Leonard St. John (Phillips Holmes), much to the displeasure of his wealthy and snobbish father, Aubrey St. Johns (Lionel Atwill), who cuts off his son. The couple moves to France. When Leonard is unable to provide a living for his new bride and himself, he eventually goes home to his father asking for help. St. Johns suggests that his son divorce his wife and keep her as a mistress, while marrying within his own class. He agrees to take his son back but only if he writes to Sally ending the marriage. Leonard, seeing no alternative, agrees. However, instead Leonard provides him with a suicide note and shoots himself.
When St. Johns discovers that Sally was carrying his grandson, he has her followed by a private detective in hopes of seizing custody of his only heir. When Sally, saving to return to America, is reduced to singing in a French bordello, St. Johns swiftly obtains a court order and seizes the infant while Sally is at work. After being assured of her legal defeat, Sally goes to St. Johns pleading for the return of her son on any terms, and is rudely rebuffed, banned from all contact with the family, and threatened with prison if she persists. The child is to be raised with no contact with or knowledge of his mother.
During World War I, Leonard Junior (Douglas Walton), now grown and in uniform as a British serviceman, visits the bordello with a date, hoping to obtain a room, which isn't available, and meets Sally, with neither aware of the other's identity. When he becomes drunk and disorderly he is knocked unconscious and Sally takes care of him, learning his identity from his date, whom she sends home with carfare. When Leonard awakens, the two become acquainted and then friendly, and Sally learns that her son was raised to despise women, including his mother, about whom he has heard only lies, including that she is dead. At this moment the enraged father of Leonard's abandoned date arrives and forces his way into the closed establishment, intending to kill Leonard. In the ensuing struggle Leonard kills the man with Sally's gun. She sends him away and confesses to the killing, without revealing her motive for helping him.
St. John encourages his grandson to go along with the lie, expecting blackmail, but at Sally's trial, as she pleads self-defense, he secretly recognizes her. The prosecutor then surprises everyone by debunking Sally's confession and revealing Sally's identity and motive for protecting Leonard. Mother and son are joyfully reunited as Leonard confesses to being the real shooter and angrily renounces his grandfather.
Leonard is sentenced to two years in jail for the shooting, and when Sally visits, the two plan their long-delayed trip to America as mother and son."
2006,Chalk,American,Mike Akel,Chris Mass,mockumentary,https://en.wikipedia.org/wiki/Chalk_(film),"The film takes the course of an entire school year and describes three teachers and one assistant principal. Mr. Stroope is campaigning for Teacher of the Year but many of his students are a little bit smarter than him. Mr. Lowrey is an introverted first-time history teacher struggling to find passion for his new profession. Coach Webb (played by Janelle Schremmer) is a female gym teacher who is struggling to get her students to take her class seriously, and becomes interested in Mr. Lowrey. Mrs. Reddell (Shannon Haragan) is the first year assistant principal who is regretting leaving teaching."
1952,Hammer the Toff,British,Maclean Rogers,"John Bentley, Patricia Dainton",crime,https://en.wikipedia.org/wiki/Hammer_the_Toff,"On the train to the seaside resort of Brighthaven, Richard Rollison (Bentley) is sharing a carriage with an attractive young lady called Susan Lancaster (Dainton). The journey is rudely interrupted when the window of the carriage is shattered by a barrage of bullets. Richard learns from the shaken Susan that she is on her way to join an uncle on holiday, and offers to escort her safely to her hotel. They learn that her uncle has disappeared, but has left Susan a package. Later, Rollison happens to overhear a pair of shady characters discussing how to kidnap Susan. She explains that her uncle has developed a secret formula which sinister characters are keen to get their hands on, and they have been receiving threats of menace, hence the flight to Brighthaven.
Rollison consults his old colleague Inspector Grice of Scotland Yard, who tells him that the evidence is pointing in the direction of a particular man as being responsible for the abduction. Using his friends and contacts in the East End, Rollison investigates, while Susan is being kidnapped and tied up. Rollison finally succeeds in identifying the criminals and their leader ""The Hammer"", releasing Susan and proving that the man suspected by the police is innocent."
1954,She Couldn't Say No,American,Lloyd Bacon,"Robert Mitchum, Jean Simmons",comedy,https://en.wikipedia.org/wiki/She_Couldn%27t_Say_No_(1954_film),"Wealthy Corby Lane (Jean Simmons) visits the American hamlet of Progress, Arkansas, whose residents had paid for a critical medical operation for her when she was a child. She decides to express her gratitude by giving them money anonymously. The headstrong woman clashes with the local doctor, Robert Sellers (Robert Mitchum), who foresees the resulting chaos."
1984,"Grandview, U.S.A.",American,Randal Kleiser,"Jamie Lee Curtis, Patrick Swayze, C. Thomas Howell, Jennifer Jason Leigh, Troy Donahue, Carole Cook",drama,"https://en.wikipedia.org/wiki/Grandview,_U.S.A.","Eighteen-year-old Tim Pearson, a soon-to-be graduate of Grandview High School, wants to go to Florida to study oceanography. Tim's father, Roger Pearson, loans Tim his brand new Cadillac to go to the Prom with his date Bonnie Clark. Later, while parked near a stream, Tim and Bonnie are making out in the Cadillac, when they feel the car moving, only to discover that the car is falling into the stream. Tim and Bonnie walk to ""Cody's Speedway"" to get a tow truck, Bonnie calls her father, who is so angry about the accident that he punches Tim. Mechanic Michelle ""Mike"" Cody comes to Tim's defense, and has Ernie ""Slam"" Webster, a local demolition derby driver, tow the car, taking Tim along. Slam stops at the bowling alley to see if his wife Candy had been there, but she wasn't.
The next morning, Tim goes to see his father at his office. He talks to Tim and hints to him that he does not want Tim to drive his car again. Tim runs into Mike and thanks her for helping him with the car.
Tim goes out to the Speedway, where he meets Mike's mentally challenged brother, Cowboy. Later on that night, Mike goes to the bar to see her uncle, Bob Cody, and asks if she can borrow $10,000, so she can fix up the Speedway. Bob doesn't have that kind of money, but wants to help her. Just then, they both hear a drunken Slam beating on a video game. Mike and Bob help Slam out to her truck. Mike and Slam talk about old times they had together.
Slam is at work the next morning, hungover, but his boss tells him to go home. Slam gets home and sees his wife Candy with another man, Donny. Enraged, he jumps on the lover's car demanding that Candy come back to him; in the ensuing struggle, Donny accidentally shoots himself in the foot. At the hospital, Candy declines to press charges, but refuses to come home with him.
That night, Mike sees Slam sleeping in his truck. Mike tries to comfort him, believing that he does not really love Candy, and is simply afraid of being alone. Later that day, Slam comes back and asks Mike if she wants to go out for dinner, but she tells him has to go to a County Commission meeting.
Tim and his dad go the same meeting, and Tim tells Roger that he wants to go to Florida; Roger is not too happy with his decision. At the Town Hall, Roger asks Tim to go to his office and get his Rolaids. In the office, Tim sees plans for the Speedway renovation on his dad's desk. At the meeting, Mike asks the commission for more time to come up with the money to fix up the Speedway, but the commission won't give it to her. Tim comes in and reveals what they have planned. He then gets into an argument with his father and leaves. He runs into Mike, who thanks him for saving her place. They both go for a hamburger at the local restaurant, and Mike invites Tim to her house, where they spend the night together. Mike asks Tim if he still wants to drive in the Derby, she gives him a car to drive. In the morning, Slam shows up at the door and discovers them in bed together; he leaves, upset.
Later on that day, Roger sees Tim near the stream, and says he is sorry about the fight. He asks Tim to give Illinois State University a chance, but Tim wants to go to Florida.
At the Speedway, Mike sells her old cars to make extra money; this upsets Cowboy, who runs off crying.
Slam goes to his house and sees his stuff on the lawn. Donny stands by the door and taunts Slam, telling him he called the cops. Slam gets his things and leaves.
Later that night, the Demolition Derby is going on, and Tim is in the race, competing against Slam. At the race's climax, Slam crashes into Tim. Mike is mad cause she thinks Slam did it on purpose, and tells him to leave the track.
Later that night, Candy and Donny are having sex in Slam's house when, suddenly, Slam appears on a bulldozer and knocks the walls down. The cops arrest Slam.
As Tim and Mike drive home from the hospital, they see firetrucks passing by, and discover that the Speedway has burned down. Mike asks her mother what had happened, and she says it just started up. In the morning, however, the police discover that the gas tank was unlocked. It is eventually revealed that Cowboy started the fire because Mike sold the old cars. Tim and Mike talk, and she admits she is in love with Slam.
Mike goes to bail Slam out from jail. He offers to help fix the Speedway, but Mike says she will sell the land to Roger Pearson; that way, they can afford to start a life together. Mike asks Slam for a favor.
Tim is on his way to Chicago, with his family in tow to say goodbye. The bus leaves and a car is driving by the side of the bus; it is Slam, who gives Tim the old car and money for his trip to Florida."
1937,The Green Cockatoo,British,William Cameron Menzies,"John Mills, René Ray, Charles Oliver",crime,https://en.wikipedia.org/wiki/The_Green_Cockatoo,An innocent young girl travels to London from her home in Devon and gets mixed up with various unsavoury characters.
2006,Kamen Rider Kabuto: GOD SPEED LOVE,Japanese,Unknown,,unknown,https://en.wikipedia.org/wiki/Kamen_Rider_Kabuto:_GOD_SPEED_LOVE,"In 1999, an enormous meteor crashed onto Earth and caused a global calamity that depleted the planet's waters. Furthermore, the meteor carried extraterrestrial creatures known as the Worms who proceeded to kill humans and assume their identities. In order to counter this new threat, ZECT was formed, who in turn created the Masked Rider System to combat the Worms. The battles lasts over seven years, depleting Earth's resources and turning it into a barren wasteland. By present time, power struggles in ZECT have caused Hidenori Oda to establish a splinter group called Neo-ZECT with Daisuke Kazama and Shura Hokuto to fight against ZECT's authority. A mysterious youth named Souji Tendou arrives to the city and decides to sell his power to either Neo-ZECT or ZECT for his own personal agenda.
At the same time, ZECT has obtained intelligence about a large comet orbiting the vicinity of space. By building the Jacob's Ladder space station, they plan to capture this comet and spread its water throughout Earth, replenishing the Earth’s oceans. The space station includes a function that works in conjunction with the Rider System's Clock Up function. Tendou joins Neo-ZECT after telling Kagami that he will act as a double agent and report back what Neo-ZECT is currently planning while destroying the organization from the inside. Tendou, in turns, updates Neo-ZECT about ZECT's operation, effectively manipulating both groups while getting intel on ZECT's golden rider.
When Neo-ZECT's plan to take over the Jacob's Ladder is initiated, both groups’ true colors come to light. Tendou and Oda proceed to Jacob's Ladder while Shura and Daisuke act as a diversion. Daisuke transforms into Kamen Rider Drake and exploded a few gas tanks in order to gain attention. But The plan failed when Shura betrayed them, and Daisuke realizes it's a trap and ZECT already knows about their attack. Tendou and Oda are greeted by Yaguruma Sou and ZECTroopers, while Daisuke dies facing Shura and her troops. Meanwhile, Tendou and Oda are attempting to fight off Yaguruma. Oda tells Tendou to hurry ahead to the space station, and he will hold Yaguruma and his troops back. Yaguruma transformed into Kamen Rider TheBee before being killed by Oda as Kamen Rider Hercus. Tendou arrived on Jacob's Ladder first and is confronted by Tetsuki Yamato - Kamen Rider Ketaros. Kabuto's fight with Ketaros ends when they both fall off the space station due a shockwave caused by the comet being shattered by meteor that was dragged in by the Clock Up function. Kabuto survives by using the Kabuto Extender for a safe landing while Ketaros dies upon re-entry into Earth's atmosphere and Oda is killed by the mysterious golden rider Kamen Rider Caucasus.
Tendou and Kagami later receive news that Hiyori is on the point of dying due to the exposure to the meteor dust years ago and it is then that Tendou reveals he is Hiyori's brother. Holding the wedding ceremony in a hospital, Hiyori dies soon afterwards. At this point, despite being told that precautions to destroy the meteor will be executed, Shura learns that ZECT's higher ups have sided with the Worms and intend to have the meteor fall. Mortally wounded from an attempt to silence her, Shura lived long enough to call Tendou of the turn of events as he and Kagami take it on as their mission to save humanity from this disaster. Kabuto and Gattack reach the shuttle in time and meet Caucasus, who explains to them that the meteor is carried hibernating Worms. Furthermore, explaining he defends only those who deserve to be the superior form of life, and that missiles within the shuttle will be used to decimate the human population to enable the Worms' infiltration.
The majority of the battle is in Caucasus' favor due to the speed provided to him by the Hyper Zector: The item that Tendou was searching for the entire time. Caucasus was about to kill Kabuto with a Rider Kick when Gattack intercepts the attack, badly wounding himself while allowing Kabuto to take the Hyper Zector from Caucasus and force him out through the air-lock. Kabuto places the injured Kagami into an escape pod to send him to Earth, unaware that Caucasus is holding on Kagami's escape pod and intends to punch a hole into the window to kill the man for his interference. Kabuto luckily uses the Hyper Zector to become Hyper Kabuto and uses Hyper Clock Up to intercept Caucacus before he succeeded and Hyper Kicked him into the space shuttle, destroying him and the vessel.
Hyper Kabuto then uses the Hyper Zecter to send the second meteor back in time by seven years and force it to crash into the first meteor. The result is that only a small fragment of the original meteor hits Shibuya, minimizing the damage and erasing the future in which the Earth's oceans are dried up. But shockwave caused by the two meteors crashing knocks Tendou towards Shibuya, finding his past self in the same situation as in the previous timeline. But Tendou, in his final moments of existence, gives his belt to the younger Tendou to give the boy strength to save Hiyori. With the disastrous future erased, Tendou disappears as his younger self grows up and lives a better life in the new timeline."
2009,Love Khichdi,Bollywood,Srinivas Bhashyam,"Randeep Hooda, Rituparna Sengupta, Divya Dutta",comedy,https://en.wikipedia.org/wiki/Love_Khichdi,"Vir is a bachelor from a small town working as a sous-chef in a five-star hotel in Mumbai, India. He is a handsome, charming, macho, idiot who flirts with, yearns for and lusts after any woman who is friendly, but seems unattainable. From his man-hating maid, whom he ogles as she wipes his floor, to the man-eating owner of a call centre who could wipe the floor with him, to the too-tall model, and the too-young pest down the corridor...from the Bengali-Beauty-with-Brains-and-Books to the married-flirt next door - Vir is suckered by them all.
With his ego, confusion and commitment ... it is so difficult to stop flattering and lying, to himself. The sometimes smart and sometimes silly observations of his all-male gang of cooks at the hotel kitchen is of little help until Vir is finally forced to grow up."
1991,Guilty by Suspicion,American,Irwin Winkler,"Robert De Niro, Annette Bening, Patricia Wettig, Sam Wanamaker, George Wendt",drama,https://en.wikipedia.org/wiki/Guilty_by_Suspicion,"David Merrill (De Niro), a director in 1950s Hollywood, returns from abroad to find that a rising tide of McCarthyism and the Red Scare has led to his not being allowed to work in films. He will only be allowed to direct once he implicates colleagues as Communist agents. He must decide whether to turn informant, or to stick to principle at the cost of his life's work."
2017,Anjani Putra,Kannada,A. Harsha,"Puneeth Rajkumar, Rashmika Mandanna",unknown,https://en.wikipedia.org/wiki/Anjani_Putra,"Viraj aka Raj (Puneeth) is a moneylender and also the heir to the Raj Group, a cloth manufacturing conglomerate, until he was disowned by his mother and uncle of his joint family Anjana Devi (Ramya Krishnan) due to some misunderstanding. He meets a rich girl Geetha (Rashmika Mandanna) at a mall, who soon falls in love with him for his good nature. One day, Raj saves the Additional Superintendent of Police Surya Prakash(P. Ravi Shankar) and his wife from a group of thugs who work for Bhairava (Mukesh Tiwari), a businessman and contract killer who kills anyone to acquire their land and money. As Surya Prakash was transferred to capture Bhairava, the latter had planned to kill him. Bhairava also plans to illegally grab land sold to a village temple by Raj's late father. These two incidents cause enmity between Raj and Bhairava.
Raj soon reconciles with the rest of his family and returns home. When the land is formally sold to the temple, an irate Bhairava assaults Raj's uncle Ramaswamy, following which Raj beats him up in retaliation and breaks his hand. A bitter battle erupts between Raj and Bhairava, with Raj, assisted by Surya Prakash, subduing Bhairava's henchmen and thwarting all attempts by Bhairava to destroy his family. Raj, seeking revenge for his mother's injury, rushes to Jodhpur, where Bhairava is hiding and kills him."
2007,Margot at the Wedding,American,Noah Baumbach,"Nicole Kidman, Jennifer Jason Leigh, Jack Black, John Turturro",comedy-drama,https://en.wikipedia.org/wiki/Margot_at_the_Wedding,"Margot (Nicole Kidman) is a successful but self-absorbed writer; it is suggested that she has borderline personality disorder. She brings her 11-year-old son Claude (Zane Pais) to spend a weekend visiting her free-spirited sister Pauline (Jennifer Jason Leigh) on the eve of Pauline's wedding to Malcolm (Jack Black) at their home on Long Island. Margot disapproves of Pauline's choice of fiancé: Malcolm is an unsuccessful musician whom Margot considers ""completely unattractive"". While in town, Margot will also be interviewed in a local bookstore by Dick Koosman (Ciarán Hinds), a successful author with whom she is collaborating on a screenplay. Dick's teenage daughter Maisy (Halley Feiffer) also visits the house.
Margot and Pauline have an uneasy relationship. Margot disapproves of Pauline's life-choices - besides marrying Malcolm, Pauline is pregnant, a fact that she has not shared with Malcolm or her pre-teen daughter Ingrid. Pauline, meanwhile, resents Margot for writing and publishing thinly-disguised stories about her life. She is also incensed when Margot shares secrets told to her in confidence - including her pregnancy. Rather than confront each other, however, Pauline and Margot take out their frustrations on Malcolm and Claude, respectively.
Tensions come to a head twice. Margot's interview goes disastrously wrong when Dick's questions become personal. While Pauline interrogates him about emails he received from one of her 20-year-old students, Malcolm admits he kissed Maisy. Returning to the house, Pauline finds Maisy inside. Though Pauline says nothing, it is obvious to Maisy that Pauline knows the truth. When Dick finds out what happened, he chases and beats Malcolm.
Margot and Pauline get into a heated argument, unleashing years of resentment. But following a climactic moment, Pauline and Ingrid leave with Margot and Claude, leaving Malcolm behind.
The next day, Pauline calls Malcolm, intent on breaking up with him. When he begs for forgiveness, however, she gives in and takes him back.
Margot decides to stay with her sister, and puts Claude on a bus to Vermont so he can live with his father. As the bus pulls away with Claude, Margot has a change of heart and chases after it. Taking a seat next to a surprised Claude, Margot catches her breath."
1957,The Cyclops,American,Bert I. Gordon,"James Craig, Gloria Talbott",sci-fi,https://en.wikipedia.org/wiki/The_Cyclops_(film),"Test pilot Bruce Barton (Duncan Parkin) is missing and his girlfriend, Susan Winter (Gloria Talbott) organizes a search party, sent out in the jungles of Mexico. The team of scientist Russ Bradford (James Craig), mining expert Martin ""Marty"" Melville (Lon Chaney Jr.) and pilot Lee Brand (Tom Drake) fly into an unknown territory. While searching the area, however, they uncover giant mutated earth animals such as giant snakes, lizards, behemoth bugs and oversized mammals.
More importantly, they encounter a mutated 50-ft tall, one-eyed human monster who became disfigured due to an exposure to radioactivity from massive radium deposits in the area. He kills Melville but appears to recognize the girl. When the cyclops tries to prevent the rest of the group from flying to safety, he is gravely wounded, and dies."
